,Boat,Ranking,Team,Score,Date
26,1V,7,NOR,6.43,"May 2, 2014"
27,1V,8,YAL,7.07,"May 2, 2014"
28,1V,9,WIS,7.43,"May 2, 2014"
29,1V,10,HAR,9.29,"May 2, 2014"
30,1V,11,PEN,10.8,"May 2, 2014"
31,1V,12,COL,11.1,"May 2, 2014"
32,1V,13,DAR,11.5,"May 2, 2014"
33,1V,14,HOL,13.1,"May 2, 2014"
34,1V,15,RUT,14,"May 2, 2014"
35,1V,,,,"May 2, 2014"
36,1V,Rank,2nd Freshmen,Points,"May 2, 2014"
37,1V,1,WIS,1.00,"May 2, 2014"
38,1V,2,NAV,1.67,"May 2, 2014"
39,1V,3,PEN,2.33,"May 2, 2014"
40,1V,4,HAR,3.00,"May 2, 2014"
0,1V,1,HAR,1,"April 24, 2014"
1,1V,2,PRI,1.94,"April 24, 2014"
2,1V,3,YAL,2.94,"April 24, 2014"
3,1V,4,BRO,4,"April 24, 2014"
4,1V,5,COR,4.88,"April 24, 2014"
5,1V,6,NOR,6.25,"April 24, 2014"
6,1V,7,NAV,6.56,"April 24, 2014"
7,1V,8,BOS,6.88,"April 24, 2014"
8,1V,9,COL,8.94,"April 24, 2014"
9,1V,10,PEN,9.63,"April 24, 2014"
10,1V,11,WIS,10.8,"April 24, 2014"
11,1V,12,SYR,11.2,"April 24, 2014"
12,1V,13,GWU,12.3,"April 24, 2014"
13,1V,14,DAR,12.6,"April 24, 2014"
14,1V,15,HOL,14.6,"April 24, 2014"
15,1V,16,GEO,15.4,"April 24, 2014"
16,1V,17,MIT,15.8,"April 24, 2014"
17,1V,18,RUT,16.6,"April 24, 2014"
18,1V,,,,"April 24, 2014"
19,1V,RANK,3RD VARSITY,POINTS,"April 24, 2014"
20,1V,1,BRO,1.71,"April 24, 2014"
21,1V,2,BOS,2.64,"April 24, 2014"
22,1V,3,NAV,2.93,"April 24, 2014"
23,1V,4,SYR,5.29,"April 24, 2014"
24,1V,5,PRI,5.36,"April 24, 2014"
25,1V,6,YAL,5.50,"April 24, 2014"
26,1V,7,NOR,6,"April 24, 2014"
27,1V,8,WIS,8.07,"April 24, 2014"
28,1V,9,COR,8.29,"April 24, 2014"
29,1V,10,PEN,9.23,"April 24, 2014"
30,1V,11,HAR,9.57,"April 24, 2014"
31,1V,12,COL,10.1,"April 24, 2014"
32,1V,13,DAR,11.1,"April 24, 2014"
33,1V,14,HOL,13.1,"April 24, 2014"
34,1V,15,RUT,13.8,"April 24, 2014"
35,1V,,,,"April 24, 2014"
36,1V,RANK,2ND FRESHMEN,POINTS,"April 24, 2014"
37,1V,1,NAV,1.33,"April 24, 2014"
38,1V,1,WIS,1.33,"April 24, 2014"
39,1V,3,PEN,2.67,"April 24, 2014"
40,1V,4,HAR,2.67,"April 24, 2014"
0,1V,1,HAR,1,"May 14, 2013"
1,1V,2,NOR,2,"May 14, 2013"
2,1V,3,BRO,2.93,"May 14, 2013"
3,1V,4,PRI,3.87,"May 14, 2013"
4,1V,5,COR,5.38,"May 14, 2013"
5,1V,6,BOS,5.53,"May 14, 2013"
6,1V,7,WIS,7.27,"May 14, 2013"
7,1V,8,YAL,7.67,"May 14, 2013"
8,1V,9,PEN,8.53,"May 14, 2013"
9,1V,10,NAV,8.6,"May 14, 2013"
10,1V,11,COL,9.93,"May 14, 2013"
11,1V,12,DAR,11.3,"May 14, 2013"
12,1V,13,SYR,12.3,"May 14, 2013"
13,1V,14,GEO,13.2,"May 14, 2013"
14,1V,15,GWU,14.2,"May 14, 2013"
15,1V,16,HOL,15.1,"May 14, 2013"
16,1V,17,MIT,16,"May 14, 2013"
17,1V,18,RUT,17,"May 14, 2013"
18,1V,,,,"May 14, 2013"
19,1V,RANK,3RD VARSITY,POINTS,"May 14, 2013"
20,1V,1,PRI,1,"May 14, 2013"
21,1V,2,BRO,2.09,"May 14, 2013"
22,1V,3,NAV,3,"May 14, 2013"
23,1V,4,NOR,4.18,"May 14, 2013"
24,1V,5,HAR,4.73,"May 14, 2013"
25,1V,6,COR,5.82,"May 14, 2013"
26,1V,7,WIS,6.64,"May 14, 2013"
27,1V,8,BOS,7,"May 14, 2013"
28,1V,9,YAL,7.91,"May 14, 2013"
29,1V,10,COL,9.18,"May 14, 2013"
30,1V,11,SYR,10.5,"May 14, 2013"
31,1V,12,DAR,10.6,"May 14, 2013"
32,1V,13,HOL,12.1,"May 14, 2013"
33,1V,14,GEO,13,"May 14, 2013"
34,1V,,,,"May 14, 2013"
35,1V,,,,"May 14, 2013"
36,1V,RANK,VARSITY 4+,POINTS,"May 14, 2013"
37,1V,1,NOR,1,"May 14, 2013"
38,1V,2,BOS,2,"May 14, 2013"
39,1V,3,YAL,2.33,"May 14, 2013"
40,1V,4,DAR,3.5,"May 14, 2013"
41,1V,5,SYR,4.33,"May 14, 2013"
42,1V,6,HOL,5.33,"May 14, 2013"
43,1V,,,,"May 14, 2013"
44,1V,,,,"May 14, 2013"
45,1V,,,,"May 14, 2013"
0,1V,1,HAR,1.00,"May 3, 2013"
1,1V,2,NOR,2.00,"May 3, 2013"
2,1V,3,BRO,3.00,"May 3, 2013"
3,1V,4,PRI,3.64,"May 3, 2013"
4,1V,5,COR,5.82,"May 3, 2013"
5,1V,6,BOS,6.24,"May 3, 2013"
6,1V,7,WIS,6.82,"May 3, 2013"
7,1V,8,YAL,8.00,"May 3, 2013"
8,1V,9,PEN,8.41,"May 3, 2013"
9,1V,10,NAV,8.76,"May 3, 2013"
10,1V,11,COL,9.18,"May 3, 2013"
11,1V,12,DAR,11.60,"May 3, 2013"
12,1V,13,SYR,12.00,"May 3, 2013"
13,1V,14,GEO,13.20,"May 3, 2013"
14,1V,15,GWU,14.20,"May 3, 2013"
15,1V,16,HOL,15.00,"May 3, 2013"
16,1V,17,MIT,16.20,"May 3, 2013"
17,1V,18,RUT,16.90,"May 3, 2013"
0,2V,2,HAR,1.94,"May 3, 2013"
1,2V,3,BRO,3.00,"May 3, 2013"
2,2V,4,NAV,4.38,"May 3, 2013"
3,2V,5,NOR,5.00,"May 3, 2013"
4,2V,6,WIS,6.44,"May 3, 2013"
5,2V,7,COR,6.75,"May 3, 2013"
6,2V,7,BOS,6.75,"May 3, 2013"
7,2V,9,SYR,8.63,"May 3, 2013"
8,2V,10,YAL,9.44,"May 3, 2013"
9,2V,11,COL,9.69,"May 3, 2013"
10,2V,12,PEN,10.90,"May 3, 2013"
11,2V,13,DAR,12.00,"May 3, 2013"
12,2V,14,HOL,13.40,"May 3, 2013"
13,2V,15,GEO,14.10,"May 3, 2013"
14,2V,16,RUT,15.00,"May 3, 2013"
15,2V,17,GWU,15.20,"May 3, 2013"
16,2V,18,MIT,15.69,"May 3, 2013"
0,3V,2,COR,2.17,"May 3, 2013"
1,3V,3,HAR,2.33,"May 3, 2013"
2,3V,4,WIS,3.83,"May 3, 2013"
3,3V,4,PEN,3.83,"May 3, 2013"
4,3V,6,NAV,5.17,"May 3, 2013"
5,3V,7,GWU,6,"May 3, 2013"
6,3V,8,RUT,7,"May 3, 2013"
0,4V,2,BRO,2.08,"May 3, 2013"
1,4V,3,NAV,3.15,"May 3, 2013"
2,4V,4,NOR,4.23,"May 3, 2013"
3,4V,5,HAR,4.85,"May 3, 2013"
4,4V,6,COR,6.46,"May 3, 2013"
5,4V,6,WIS,6.46,"May 3, 2013"
6,4V,8,BOS,7.77,"May 3, 2013"
7,4V,9,YAL,8.08,"May 3, 2013"
8,4V,10,COL,9.08,"May 3, 2013"
9,4V,11,DAR,9.46,"May 3, 2013"
10,4V,12,SYR,10.10,"May 3, 2013"
11,4V,13,HOL,12.30,"May 3, 2013"
12,4V,14,GEO,12.80,"May 3, 2013"
0,5V,2,PRI,2.00,"May 3, 2013"
1,5V,3,BRO,3.33,"May 3, 2013"
2,5V,4,HAR,4.00,"May 3, 2013"
3,5V,5,BOS,5.00,"May 3, 2013"
0,1V,2,NORTHEASTERN,2.00,"April 25, 2013"
1,1V,3,BROWN,3.00,"April 25, 2013"
2,1V,4,PRINCETON,3.82,"April 25, 2013"
3,1V,5,YALE,4.76,"April 25, 2013"
4,1V,6,NAVY,6.18,"April 25, 2013"
5,1V,7,COLUMBIA,6.82,"April 25, 2013"
6,1V,8,WISCONSIN,7.35,"April 25, 2013"
7,1V,9,CORNELL,8.71,"April 25, 2013"
8,1V,10,BOSTON UNIV.,9.29,"April 25, 2013"
9,1V,11,PENNSYLVANIA,10.76,"April 25, 2013"
10,1V,12,DARTMOUTH,11.35,"April 25, 2013"
11,1V,13,SYRACUSE,11.59,"April 25, 2013"
12,1V,14,GEORGETOWN,13.00,"April 25, 2013"
13,1V,15,GEORGE WASH.,14.29,"April 25, 2013"
14,1V,16,HOLY CROSS,15.00,"April 25, 2013"
15,1V,17,MIT,16.18,"April 25, 2013"
16,1V,18,RUTGERS,16.88,"April 25, 2013"
0,2V,2,HARVARD,1.93,"April 25, 2013"
1,2V,3,BROWN,2.87,"April 25, 2013"
2,2V,4,COLUMBIA,6.00,"April 25, 2013"
3,2V,5,NAVY,6.07,"April 25, 2013"
4,2V,6,NORTHEASTERN,6.20,"April 25, 2013"
5,2V,7,WISCONSIN,6.44,"April 25, 2013"
6,2V,8,YALE,7.20,"April 25, 2013"
7,2V,9,SYRACUSE,8.00,"April 25, 2013"
8,2V,10,CORNELL,8.67,"April 25, 2013"
9,2V,11,BOSTON UNIV.,9.60,"April 25, 2013"
10,2V,12,PENNSYLVANIA,10.20,"April 25, 2013"
11,2V,13,DARTMOUTH,12.07,"April 25, 2013"
12,2V,14,HOLY CROSS,13.73,"April 25, 2013"
13,2V,15,GEORGETOWN,14.07,"April 25, 2013"
14,2V,16,GEORGE WASH.,14.73,"April 25, 2013"
15,2V,17,MIT,15.87,"April 25, 2013"
0,3V,2,CORNELL,1.60,"April 25, 2013"
1,3V,3,HARVARD,2.50,"April 25, 2013"
2,3V,4,WISCONSIN,4.33,"April 25, 2013"
3,3V,5,PENNSYLVANIA,4.40,"April 25, 2013"
4,3V,6,NAVY,4.8,"April 25, 2013"
5,3V,7,GEORGE WASH.,6.4,"April 25, 2013"
6,3V,8,RUTGERS,6.8,"April 25, 2013"
0,4V,2,BROWN,1.92,"April 25, 2013"
1,4V,3,NAVY,3.92,"April 25, 2013"
2,4V,4,HARVARD,4.00,"April 25, 2013"
3,4V,5,NORTHEASTERN,5.83,"April 25, 2013"
4,4V,5,YALE,5.83,"April 25, 2013"
5,4V,7,WISCONSIN,6.62,"April 25, 2013"
6,4V,8,SYRACUSE,6.92,"April 25, 2013"
7,4V,9,COLUMBIA,7.75,"April 25, 2013"
8,4V,10,CORNELL,9.25,"April 25, 2013"
9,4V,11,DARTMOUTH,9.50,"April 25, 2013"
10,4V,12,BOSTON UNIV.,10.33,"April 25, 2013"
11,4V,13,HOLY CROSS,12.33,"April 25, 2013"
12,4V,14,GEORGETOWN,12.92,"April 25, 2013"
0,5V,2,NAVY,1.50,"April 25, 2013"
1,5V,3,PENNSYLVANIA,2.4,"April 25, 2013"
2,5V,4,RUTGERS,3,"April 25, 2013"
0,1V,2,Brown,2,"May 3, 2012"
1,1V,3,Navy,3,"May 3, 2012"
2,1V,4,Wisconsin,4.27,"May 3, 2012"
3,1V,5,Cornell,4.53,"May 3, 2012"
4,1V,6,Northeastern,6.13,"May 3, 2012"
5,1V,7,Princeton,6.47,"May 3, 2012"
6,1V,8,Syracuse,7.13,"May 3, 2012"
7,1V,9,Boston Univ.,8.87,"May 3, 2012"
8,1V,10,Yale,8.93,"May 3, 2012"
9,1V,11,Columbia,10.7,"May 3, 2012"
10,1V,12,Dartmouth,11.3,"May 3, 2012"
11,1V,13,Georgetown,12.3,"May 3, 2012"
12,1V,14,Pennsylvania,13,"May 3, 2012"
13,1V,15,George Wash.,14.1,"May 3, 2012"
14,1V,16,Holy Cross,15.1,"May 3, 2012"
15,1V,17,Rutgers,16.1,"May 3, 2012"
16,1V,18,MIT,17,"May 3, 2012"
0,2V,2,Wisconsin,2.54,"May 3, 2012"
1,2V,3,Cornell,2.69,"May 3, 2012"
2,2V,4,Princeton,4.46,"May 3, 2012"
3,2V,5,Navy,5.15,"May 3, 2012"
4,2V,6,Syracuse*,5.69,"May 3, 2012"
5,2V,7,Brown*,5.69,"May 3, 2012"
6,2V,8,Yale,6.8,"May 3, 2012"
7,2V,9,Northeastern,8.23,"May 3, 2012"
8,2V,10,Boston Univ.,9.38,"May 3, 2012"
9,2V,11,Penn,10.5,"May 3, 2012"
10,2V,12,Dartmouth,11.1,"May 3, 2012"
11,2V,13,Holy Cross,12.3,"May 3, 2012"
12,2V,14,George Wash.,13.1,"May 3, 2012"
13,2V,15,Georgetown,14.1,"May 3, 2012"
14,2V,16,Rutgers,15,"May 3, 2012"
0,3V,1,Harvard,1,"May 3, 2012"
1,3V,2,Cornell,2.4,"May 3, 2012"
2,3V,3,Northeastern,2.53,"May 3, 2012"
3,3V,4,Yale,4.53,"May 3, 2012"
4,3V,5,Wisconsin,5.27,"May 3, 2012"
5,3V,6,Princeton,5.6,"May 3, 2012"
6,3V,7,Boston Univ.,6.47,"May 3, 2012"
7,3V,8,Navy,7.6,"May 3, 2012"
8,3V,9,Brown,7.87,"May 3, 2012"
9,3V,10,Dartmouth,9.33,"May 3, 2012"
10,3V,11,Syracuse,10.5,"May 3, 2012"
11,3V,12,Columbia,11.3,"May 3, 2012"
12,3V,13,Penn,12.3,"May 3, 2012"
13,3V,14,Georgetown,13.3,"May 3, 2012"
14,3V,15,George Wash.,14.3,"May 3, 2012"
15,3V,16,MIT,14.9,"May 3, 2012"
16,3V,17,Rutgers,16.1,"May 3, 2012"
17,3V,18,Holy Cross,17,"May 3, 2012"
0,4V,2,Harvard,2,"May 3, 2012"
1,4V,3,Wisconsin,3,"May 3, 2012"
2,4V,4,Navy,3.4,"May 3, 2012"
3,4V,5,Cornell,4.2,"May 3, 2012"
4,4V,6,Princeton,5,"May 3, 2012"
5,4V,7,Boston Univ.,6,"May 3, 2012"
6,4V,8,Holy Cross,7,"May 3, 2012"
0,5V,2,Harvard,2,"May 3, 2012"
1,5V,3,Wisconsin,2.67,"May 3, 2012"
2,5V,4,Cornell,2.75,"May 3, 2012"
3,5V,5,Brown,4,"May 3, 2012"
4,5V,6,Penn,5,"May 3, 2012"
0,1V,1,Harvard,1,"April 25, 2012"
1,1V,2,Brown,2.12,"April 25, 2012"
2,1V,3,Wisconsin,3.29,"April 25, 2012"
3,1V,4,Navy,3.53,"April 25, 2012"
4,1V,5,Cornell,4.59,"April 25, 2012"
5,1V,6,Princeton,6.12,"April 25, 2012"
6,1V,7,Northeastern,7.06,"April 25, 2012"
7,1V,8,Syracuse,7.24,"April 25, 2012"
8,1V,9,Yale,8.18,"April 25, 2012"
9,1V,10,Boston Univ.,9.24,"April 25, 2012"
10,1V,11,Columbia,10.88,"April 25, 2012"
11,1V,12,Dartmouth,11.47,"April 25, 2012"
12,1V,13,Georgetown,12.47,"April 25, 2012"
13,1V,14,Pennsylvania,12.59,"April 25, 2012"
14,1V,15,George Wash.,14.06,"April 25, 2012"
15,1V,16,Holy Cross,15.18,"April 25, 2012"
16,1V,17,Rutgers,16.1,"April 25, 2012"
17,1V,18,MIT,16.94,"April 25, 2012"
0,2V,1,Harvard,1.4,"April 25, 2012"
1,2V,2,Wisconsin,1.93,"April 25, 2012"
2,2V,3,Brown,2.93,"April 25, 2012"
3,2V,4,Cornell,3.87,"April 25, 2012"
4,2V,5,Navy,5.33,"April 25, 2012"
5,2V,6,Syracuse,6.07,"April 25, 2012"
6,2V,7,Yale,6.33,"April 25, 2012"
7,2V,8,Princeton,7.27,"April 25, 2012"
8,2V,9,Northeastern,7.8,"April 25, 2012"
9,2V,10,Boston Univ.,9.6,"April 25, 2012"
10,2V,11,Penn,10.27,"April 25, 2012"
11,2V,12,Dartmouth,11.2,"April 25, 2012"
12,2V,13,Holy Cross,12.6,"April 25, 2012"
13,2V,14,George Wash.,13.07,"April 25, 2012"
14,2V,15,Georgetown,14.07,"April 25, 2012"
15,2V,16,Rutgers,14.93,"April 25, 2012"
0,3V,1,Harvard,1.06,"April 25, 2012"
1,3V,2,Northeastern,1.94,"April 25, 2012"
2,3V,3,Cornell,2.82,"April 25, 2012"
3,3V,4,Boston Univ.,4.24,"April 25, 2012"
4,3V,5,Yale,4.65,"April 25, 2012"
5,3V,6,Princeton,6.41,"April 25, 2012"
6,3V,7,Brown,6.47,"April 25, 2012"
7,3V,8,Navy,7.41,"April 25, 2012"
8,3V,9,Dartmouth,8.41,"April 25, 2012"
9,3V,10,Wisconsin,9.71,"April 25, 2012"
10,3V,11,Syracuse,10.29,"April 25, 2012"
11,3V,12,Columbia,11.24,"April 25, 2012"
12,3V,13,Penn,12.24,"April 25, 2012"
13,3V,14,Georgetown,13.35,"April 25, 2012"
14,3V,15,George Wash.,14.41,"April 25, 2012"
15,3V,16,MIT,14.94,"April 25, 2012"
16,3V,17,Rutgers,16.24,"April 25, 2012"
17,3V,18,Holy Cross,16.71,"April 25, 2012"
0,4V,1,Brown,1.43,"April 25, 2012"
1,4V,2,Harvard,2.14,"April 25, 2012"
2,4V,3,Wisconsin,2.86,"April 25, 2012"
3,4V,4,Navy,3.71,"April 25, 2012"
4,4V,5,Cornell,4.14,"April 25, 2012"
5,4V,6,Princeton,4.86,"April 25, 2012"
6,4V,7,Boston Univ.,5.86,"April 25, 2012"
7,4V,8,Holy Cross,7,"April 25, 2012"
0,5V,1,Navy,1.11,"April 25, 2012"
1,5V,2,Harvard,1.89,"April 25, 2012"
2,5V,3,Cornell,3,"April 25, 2012"
3,5V,4,Wisconsin,3.89,"April 25, 2012"
4,5V,5,Brown,4.11,"April 25, 2012"
5,5V,6,Penn,5.44,"April 25, 2012"
6,5V,7,Princeton,6.22,"April 25, 2012"
7,5V,8,Syracuse,7.22,"April 25, 2012"
8,5V,9,Holy Cross,8.22,"April 25, 2012"
9,5V,10,Rutgers,8.89,"April 25, 2012"
0,1V,1,Harvard,1,"April 18, 2012"
1,1V,2,Brown,2.47,"April 18, 2012"
2,1V,3,Wisconsin,3.71,"April 18, 2012"
3,1V,4,Princeton,4.12,"April 18, 2012"
4,1V,5,Yale,4.88,"April 18, 2012"
5,1V,6,Navy,5,"April 18, 2012"
6,1V,7,Northeastern,6.76,"April 18, 2012"
7,1V,8,Cornell,7.24,"April 18, 2012"
8,1V,9,Boston Univ.,8.18,"April 18, 2012"
9,1V,10,Syracuse,9.24,"April 18, 2012"
10,1V,11,Columbia,10.8,"April 18, 2012"
11,1V,12,Dartmouth,11.6,"April 18, 2012"
12,1V,13,Georgetown (tie),12.4,"April 18, 2012"
13,1V,,Penn (tie),12.4,"April 18, 2012"
14,1V,15,George Wash.,14.1,"April 18, 2012"
15,1V,16,Holy Cross,15.2,"April 18, 2012"
16,1V,17,Rutgers,16.1,"April 18, 2012"
17,1V,18,MIT,16.8,"April 18, 2012"
0,2V,1,Harvard,1.33,"April 18, 2012"
1,2V,2,Wisconsin,2.67,"April 18, 2012"
2,2V,3,Brown,2.93,"April 18, 2012"
3,2V,4,Princeton,4.33,"April 18, 2012"
4,2V,5,Cornell,4.93,"April 18, 2012"
5,2V,6,Yale,5.33,"April 18, 2012"
6,2V,7,Syracuse,6.4,"April 18, 2012"
7,2V,8,Northeastern,6.93,"April 18, 2012"
8,2V,9,Navy,8.7,"April 18, 2012"
9,2V,10,Boston Univ.,9.2,"April 18, 2012"
10,2V,11,Penn,10.5,"April 18, 2012"
11,2V,12,Dartmouth,10.9,"April 18, 2012"
12,2V,13,George Wash.,12.7,"April 18, 2012"
13,2V,14,Holy Cross,12.9,"April 18, 2012"
14,2V,15,Georgetown,14.1,"April 18, 2012"
15,2V,16,Rutgers,14.6,"April 18, 2012"
0,3V,1,Harvard,1.06,"April 18, 2012"
1,3V,2,Northeastern,2.71,"April 18, 2012"
2,3V,3,Cornell,3.29,"April 18, 2012"
3,3V,4,Boston Univ.,4.65,"April 18, 2012"
4,3V,5,Yale,5.06,"April 18, 2012"
5,3V,6,Princeton,5.18,"April 18, 2012"
6,3V,7,Brown,6.47,"April 18, 2012"
7,3V,8,Navy,7.29,"April 18, 2012"
8,3V,9,Dartmouth,8.41,"April 18, 2012"
9,3V,10,Wisconsin,9.65,"April 18, 2012"
10,3V,11,Columbia,10.5,"April 18, 2012"
11,3V,12,Syracuse,10.8,"April 18, 2012"
12,3V,13,Penn,11.6,"April 18, 2012"
13,3V,14,Georgetown,13.4,"April 18, 2012"
14,3V,15,George Wash.,14.5,"April 18, 2012"
15,3V,16,MIT,14.8,"April 18, 2012"
16,3V,17,Holy Cross,16.1,"April 18, 2012"
17,3V,18,Rutgers,16.6,"April 18, 2012"
0,4V,1,Brown,1.43,"April 18, 2012"
1,4V,2,Harvard,2.14,"April 18, 2012"
2,4V,3,Wisconsin,3,"April 18, 2012"
3,4V,4,Navy (tie),3.71,"April 18, 2012"
4,4V,,Princeton (tie),3.71,"April 18, 2012"
5,4V,6,Cornell,5.29,"April 18, 2012"
6,4V,7,Boston Univ.,5.71,"April 18, 2012"
7,4V,8,Holy Cross,7,"April 18, 2012"
0,5V,1,Harvard,1.33,"April 18, 2012"
1,5V,2,Navy,1.67,"April 18, 2012"
2,5V,3,Cornell,3.22,"April 18, 2012"
3,5V,4,Brown,4,"April 18, 2012"
4,5V,5,Wisconsin,4.22,"April 18, 2012"
5,5V,6,Penn,5.22,"April 18, 2012"
6,5V,7,Princeton,6,"April 18, 2012"
7,5V,8,Syracuse,7.22,"April 18, 2012"
8,5V,9,Rutgers,8.89,"April 18, 2012"
0,1V,2,WIS,2.13,"May 10, 2011"
1,1V,3,PRI,2.81,"May 10, 2011"
2,1V,4,BOS,3.31,"May 10, 2011"
3,1V,5,BRO,5.31,"May 10, 2011"
4,1V,6,SYR,5.50,"May 10, 2011"
5,1V,7,COR,6.75,"May 10, 2011"
6,1V,8,NAV,7.63,"May 10, 2011"
7,1V,9,YAL,8.69,"May 10, 2011"
8,1V,10,DAR,8.88,"May 10, 2011"
9,1V,11,COL,10.25,"May 10, 2011"
10,1V,12,GEO,11.56,"May 10, 2011"
11,1V,13,PEN,12.00,"May 10, 2011"
12,1V,14,NOR,13.13,"May 10, 2011"
13,1V,15,HOL,14.38,"May 10, 2011"
14,1V,16,GWU,14.81,"May 10, 2011"
15,1V,17,RUT,16.00,"May 10, 2011"
0,2V,2,WIS,2.13,"May 10, 2011"
1,2V,3,PRI,3.47,"May 10, 2011"
2,2V,4,NAV,3.93,"May 10, 2011"
3,2V,5,BRO,4.67,"May 10, 2011"
4,2V,6,BOS,5.33,"May 10, 2011"
5,2V,7,SYR,6.93,"May 10, 2011"
6,2V,8,COR,7.13,"May 10, 2011"
7,2V,9,YAL,8.07,"May 10, 2011"
8,2V,10,PEN,9.33,"May 10, 2011"
9,2V,11,DAR,10.33,"May 10, 2011"
10,2V,12,GWU,11.87,"May 10, 2011"
11,2V,13,COL,12.00,"May 10, 2011"
12,2V,14,GEO,13.13,"May 10, 2011"
13,2V,15,HOL,13.73,"May 10, 2011"
14,2V,16,RUT,14.87,"May 10, 2011"
0,3V,2,PRI,2.82,"May 10, 2011"
1,3V,3,BOS,2.94,"May 10, 2011"
2,3V,4,NOR,3.06,"May 10, 2011"
3,3V,5,NAV,4.71,"May 10, 2011"
4,3V,6,BRO,5.88,"May 10, 2011"
5,3V,7,COR,7.29,"May 10, 2011"
6,3V,8,WIS,7.82,"May 10, 2011"
7,3V,9,COL,8.35,"May 10, 2011"
8,3V,10,SYR,8.94,"May 10, 2011"
9,3V,11,DAR,10.59,"May 10, 2011"
10,3V,12,YAL,10.71,"May 10, 2011"
11,3V,13,GWU,12.53,"May 10, 2011"
12,3V,14,PEN,13.53,"May 10, 2011"
13,3V,15,GEO,13.65,"May 10, 2011"
14,3V,16,HOL,15.18,"May 10, 2011"
15,3V,17,MIT,16.24,"May 10, 2011"
16,3V,18,RUT,16.76,"May 10, 2011"
0,4V,2,WIS,1.86,"May 10, 2011"
1,4V,3,YAL,2.86,"May 10, 2011"
2,4V,4,COR,3.86,"May 10, 2011"
3,4V,5,BRO,4.75,"May 10, 2011"
4,4V,6,NAV,5.14,"May 10, 2011"
5,4V,7,PRI,5.57,"May 10, 2011"
6,4V,8,DAR,7.29,"May 10, 2011"
7,4V,9,PEN,7.86,"May 10, 2011"
8,4V,10,HOL,9.00,"May 10, 2011"
0,5V,1t,NAV,1.40,"May 10, 2011"
1,5V,3,WIS,2.80,"May 10, 2011"
2,5V,4,PEN,3.20,"May 10, 2011"
3,5V,5,COR,4.40,"May 10, 2011"
4,5V,6,DAR,5.80,"May 10, 2011"
0,1V,2,WIS,2.13,"May 5, 2011"
1,1V,3,PRI,2.81,"May 5, 2011"
2,1V,4,BOS,3.31,"May 5, 2011"
3,1V,5,BRO,5.31,"May 5, 2011"
4,1V,6,SYR,5.50,"May 5, 2011"
5,1V,7,COR,6.75,"May 5, 2011"
6,1V,8,NAV,7.63,"May 5, 2011"
7,1V,9,YAL,8.69,"May 5, 2011"
8,1V,10,DAR,8.88,"May 5, 2011"
9,1V,11,COL,10.25,"May 5, 2011"
10,1V,12,GEO,11.56,"May 5, 2011"
11,1V,13,PEN,12.00,"May 5, 2011"
12,1V,14,NOR,13.13,"May 5, 2011"
13,1V,15,HOL,14.38,"May 5, 2011"
14,1V,16,GWU,14.81,"May 5, 2011"
15,1V,17,RUT,16.00,"May 5, 2011"
0,2V,2,WIS,2.13,"May 5, 2011"
1,2V,3,PRI,3.47,"May 5, 2011"
2,2V,4,NAV,3.93,"May 5, 2011"
3,2V,5,BRO,4.67,"May 5, 2011"
4,2V,6,BOS,5.33,"May 5, 2011"
5,2V,7,SYR,6.93,"May 5, 2011"
6,2V,8,COR,7.13,"May 5, 2011"
7,2V,9,YAL,8.07,"May 5, 2011"
8,2V,10,PEN,9.33,"May 5, 2011"
9,2V,11,DAR,10.33,"May 5, 2011"
10,2V,12,GWU,11.87,"May 5, 2011"
11,2V,13,COL,12.00,"May 5, 2011"
12,2V,14,GEO,13.13,"May 5, 2011"
13,2V,15,HOL,13.73,"May 5, 2011"
14,2V,16,RUT,14.87,"May 5, 2011"
0,3V,2,PRI,2.82,"May 5, 2011"
1,3V,3,BOS,2.94,"May 5, 2011"
2,3V,4,NOR,3.06,"May 5, 2011"
3,3V,5,NAV,4.71,"May 5, 2011"
4,3V,6,BRO,5.88,"May 5, 2011"
5,3V,7,COR,7.29,"May 5, 2011"
6,3V,8,WIS,7.82,"May 5, 2011"
7,3V,9,COL,8.35,"May 5, 2011"
8,3V,10,SYR,8.94,"May 5, 2011"
9,3V,11,DAR,10.59,"May 5, 2011"
10,3V,12,YAL,10.71,"May 5, 2011"
11,3V,13,GWU,12.53,"May 5, 2011"
12,3V,14,PEN,13.53,"May 5, 2011"
13,3V,15,GEO,13.65,"May 5, 2011"
14,3V,16,HOL,15.18,"May 5, 2011"
15,3V,17,MIT,16.24,"May 5, 2011"
16,3V,18,RUT,16.76,"May 5, 2011"
0,4V,2,WIS,1.86,"May 5, 2011"
1,4V,3,YAL,2.86,"May 5, 2011"
2,4V,4,COR,3.86,"May 5, 2011"
3,4V,5,BRO,4.75,"May 5, 2011"
4,4V,6,NAV,5.14,"May 5, 2011"
5,4V,7,PRI,5.57,"May 5, 2011"
6,4V,8,DAR,7.29,"May 5, 2011"
7,4V,9,PEN,7.86,"May 5, 2011"
8,4V,10,HOL,9.00,"May 5, 2011"
0,5V,1t,NAV,1.40,"May 5, 2011"
1,5V,3,WIS,2.80,"May 5, 2011"
2,5V,4,PEN,3.20,"May 5, 2011"
3,5V,5,COR,4.40,"May 5, 2011"
4,5V,6,DAR,5.80,"May 5, 2011"
0,1V,2,PRI,2.31,"April 28, 2011"
